,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW,Equal,Negishi,CAN,KOR,RUS,MEX
16,1020,baseline,negishi,1.0195097907209107,1.0211581962912637,1.0239413397091393,1.1008099887548863,1.0923502311773352,1.0897923846731206,1.088000603939374,1.0877319100200549,1.0602036654376663,1.038381233684157,1.0368659855983269,1.0911698192316055,1.0891203819610968
17,1020,baseline,pop_weighted,1.0210900099824949,1.022538607260132,1.0254349026505245,1.102138069754318,1.0936577326590935,1.0911297097914705,1.0893775626407378,1.0885207624651363,1.0600319700745937,1.0398302967878312,1.0385009266975156,1.092583312110367,1.0182176077615444
18,1020,10.1,negishi,1.0296574443208666,1.03005909175463,1.030174796147682,1.1109829480945828,1.1020302425914486,1.099144052911233,1.0987862908453734,1.097983106852161,1.0699929008452775,1.052825229428906,1.0478296077469922,1.1020449938778296,1.0992014648720545
19,1020,10.1,negishi,1.0296574443208666,1.03005909175463,1.030174796147682,1.1109829480945828,1.1020302425914486,1.099144052911233,1.0987862908453734,1.097983106852161,1.0699929008452775,1.052825229428906,1.0478296077469922,1.1020449938778296,1.0992014648720545
20,1020,10.1,pop_weighted,1.0331399725489527,1.0334377248237228,1.0332663450889523,1.1143307443951276,1.0329637258281583,1.1022856550097824,1.102074935104996,1.098535946956138,1.0668825760468952,1.0561747860206598,1.051720567001709,1.01962930421334,1.0291353259393845
21,1020,10.2,negishi,1.030610667380416,1.0371548802842352,1.0339659420122982,1.094877251545388,1.09078197123093,1.089230757610464,1.0878648935147597,1.0873095951706446,1.0649566549432794,1.0361014402656883,1.044926521591306,1.0908983169712163,1.0904857435092414
22,1020,10.2,pop_weighted,1.031262371554742,1.0377639848105875,1.0345892791196074,1.0955110429767174,1.091393209137355,1.0898407977957687,1.0884903304204874,1.0874053265552448,1.0642228598041272,1.0367001246226295,1.045653172258226,1.0915707333534332,1.0263732441697906
23,1020,20.0,pop_weighted,1.0211240310142484,1.0225751213873835,1.025467513276895,1.1021402866050498,1.0936679712758717,1.0911381877657738,1.0893952678589476,1.0885394117915164,1.0600496267826325,1.0398513217681045,1.038520259496983,1.0926038287879325,1.0182440685490008
24,1020,20.1,pop_weighted,1.0209485940430114,1.0223891247737378,1.0253008066808829,1.102212161499911,1.0936207936270077,1.0910615309450462,1.0893029559662109,1.088460849287226,1.059963058883579,1.039742337145286,1.0384110962794797,1.0925245468726836,1.0181073842969626
25,1020,20.2,pop_weighted,1.020745220981556,1.0221742423604752,1.0251090222999275,1.102290815454119,1.0935622520747976,1.0909654431144291,1.089193711513706,1.0883775456962244,1.0598594224007984,1.03961375061855,1.038281964518866,1.09242553298021,1.0179477542165618
26,1020,20.3,pop_weighted,1.020510291693646,1.0219272765843253,1.0248862938386547,1.1023649442501562,1.0934876299514789,1.090862304979286,1.0890611854644372,1.0882660818980523,1.0597278638444387,1.0394611483747511,1.0381280448414816,1.0923094798117607,1.0177611166339495
27,1020,20.4,pop_weighted,1.0202420570421815,1.0216439674772568,1.0246298813222825,1.102429755668417,1.093389118099421,1.0907222759735913,1.088902995198174,1.0881349011975163,1.0595803955232646,1.03928111390945,1.0379495185991277,1.0921663077888422,1.0175424991922386
28,1020,20.5,pop_weighted,1.019935264869012,1.0213215663079962,1.0243362361096502,1.1024928113391308,1.0932722830220436,1.0905657578794568,1.0887155442518153,1.0879693311750456,1.0594026713615488,1.0390710023911127,1.0377392476912497,1.0919981997917174,1.0172914683026986
29,1020,20.6,pop_weighted,1.0196736856863151,1.0210603649764904,1.0241223263864505,1.1015478254948003,1.0932130319070867,1.0904666451141152,1.0885934042617496,1.08776005141997,1.0590666899623071,1.0389310209630511,1.0376791213955363,1.091902645146013,1.0170852395805308
30,1020,20.7,pop_weighted,1.0195793901978445,1.0209908753651986,1.0241191582863378,1.0992923821320482,1.0933525185328283,1.090574743647163,1.0886717050607575,1.0875740262780929,1.0586230132563026,1.0389908979845814,1.0379134816541071,1.092032425779805,1.0170513833666055
31,1020,20.8,pop_weighted,1.0198243841477723,1.0213028728462918,1.0245330087843034,1.094992014525345,1.093875977039513,1.0910677601281855,1.0891461523489616,1.0875070773166675,1.058058409500466,1.0394460856046832,1.0386984570729534,1.0925850140573972,1.0173650665406824
32,1020,20.9,pop_weighted,1.0387311241999957,1.044815932233384,1.0498851678060568,1.0027647724436108,1.1165637523901626,1.114285547205584,1.1127943011941983,1.0967251463969183,1.0555404385264862,1.0634078579606017,1.070561329719984,1.1173968616657508,1.0679877756177003
33,1020,20.10,pop_weighted,1.0390505627367843,1.045234380269641,1.0503774047054253,1.005113568785367,1.1173694216482395,1.1150070846795863,1.1134869083171024,1.0976741301054789,1.0565211115601485,1.0640456436725536,1.0712045344009902,1.118106507053966,1.0698064037316946
34,1020,20.11,pop_weighted,1.0393299968370429,1.045617613733836,1.0508333351263437,1.0074901898934054,1.1181335906522518,1.1157165173415913,1.1141481685389858,1.098602205821624,1.057486036118061,1.0646533718510909,1.0718179971296815,1.1187860400337006,1.0717745675596562
35,1020,20.12,pop_weighted,1.039564361990127,1.045956114838518,1.0512481876792006,1.009883885631114,1.1188702295998112,1.1163754810686062,1.114769585067256,1.0995015053303627,1.0584241908602967,1.065223509369335,1.0723937140534416,1.119417818758001,1.0738636849359502
36,1020,20.13,pop_weighted,1.039744637288665,1.0462459109173552,1.0516141953281897,1.0122820253006228,1.1195744942176835,1.116996035840793,1.1153446090260444,1.100359522355382,1.0593297277480496,1.065751053135182,1.0729270507088071,1.120015680420524,1.0760457466381494
37,1020,20.14,pop_weighted,1.0398690205510006,1.0464829826725124,1.051927159508926,1.014671306763257,1.120243815482315,1.1175610228366732,1.1158659493308047,1.101172646672458,1.060194128726106,1.0662295489497071,1.0734105292861025,1.120562191702451,1.0782591391552043
38,1020,20.15,pop_weighted,1.0399351286631926,1.046660207155741,1.05218283567512,1.017040010409957,1.1208358288607152,1.1180828899559785,1.1163275656197418,1.101932101046362,1.0610100746003106,1.0666534266908594,1.0738404714551644,1.1210603166565236,1.0804898171194277
39,1020,20.16,pop_weighted,1.0399368946769956,1.046775486305769,1.0523783427262678,1.0193787862101862,1.1213848503654518,1.1185251511722216,1.1167239258034931,1.1026334404132936,1.0617717572540786,1.067017463216364,1.0742099804369405,1.1214776693004178,1.0826903271389745
40,1020,20.17,pop_weighted,1.039873148515551,1.0468284291733605,1.0525072770805095,1.0216746285353142,1.121866712060937,1.1189157379545782,1.1170500967393633,1.1032667870296269,1.0624733009199117,1.0673208108780277,1.0745159722795463,1.1218388966185802,1.084844877138483
41,1020,20.18,pop_weighted,1.0397458097254804,1.0468133170371805,1.0525683150544929,1.0239226149668563,1.122286558742725,1.119233347058569,1.117301948856127,1.1038302447524069,1.0631078394713394,1.0675577657125883,1.0747538757679214,1.1221364526170203,1.08694081581059
42,1020,20.19,pop_weighted,1.0395513210434335,1.0467307787938,1.052561463861316,1.0261073469422162,1.1226405193862878,1.119474508211471,1.117476415264715,1.1043217835037489,1.063672111075245,1.0677247052794945,1.0749239715200327,1.1223599193247862,1.08893098433477
43,1020,20.20,pop_weighted,1.0392862455811311,1.0465800162166596,1.0524829091948424,1.028227319658806,1.1229147830260506,1.1196439266156428,1.1175704348239477,1.1047407024242557,1.0641698556087131,1.0678241532786812,1.0750211298332693,1.1225034270137133,1.0908329986491596
44,1020,20.21,pop_weighted,1.0389552228939865,1.0463611522349092,1.0523361987602644,1.0302711983784991,1.1231266743826964,1.1197494247491253,1.1175823119723114,1.1050699215380169,1.0645901577987047,1.0678509690431572,1.0750457273418497,1.1225767423724626,1.09264046563037
45,1020,20.22,pop_weighted,1.0385587277324404,1.0460726044303037,1.052117301641044,1.0322365221995993,1.1232608416333776,1.1197690152465067,1.1175107749189928,1.105323000453027,1.0649372322112742,1.0678083397261249,1.0749965484881794,1.1225713209089936,1.094279923319473
46,1020,20.23,pop_weighted,1.0380962454808418,1.0457213666280014,1.051829495737128,1.0341206661919176,1.123319426470336,1.119711863905219,1.1173549911375062,1.1054867275387512,1.0652089057843974,1.0676940416894756,1.0748742419522506,1.1224863490432908,1.0957971984946888
47,1020,20.24,pop_weighted,1.0375733625294394,1.0452989448767935,1.0514746997867268,1.0359120646137794,1.1233191767366164,1.119577904714169,1.117115657180206,1.105576234194154,1.065403140682286,1.0675073983696093,1.0746774278338826,1.1223292432434573,1.0971896040035551
48,1020,99.0,negishi,0.9848905060083206,1.0456533765409624,0.986752019316682,1.0413187895278178,1.0331639800306525,1.0307103636346089,1.0275423567089117,1.0299855978951902,1.0239740146432843,0.9974465541512268,0.9947396414389076,1.0310923615255494,1.0302853665497127
49,1020,99.0,pop_weighted,0.9997197820816086,1.0023992591499675,1.0039077734887727,1.05881671242579,1.0505361038508931,1.0480480188004406,1.0456060224294867,1.0463483594337497,1.0286423799023172,1.0151164566798443,1.0150201601998765,1.048859937388701,1.0356171707610438
50,1020,99.1,negishi,1.072592335282417,1.0775499097156054,1.0809816247538289,1.188987882041891,1.1810421653814198,1.1784618246452685,1.177837870975671,1.1757377469916497,1.1330214346198506,1.1041826954683367,1.101629848198195,1.1808297622138242,1.1767223083185236
51,1020,99.1,pop_weighted,1.0750799817544263,1.0797720240526554,1.0833461117874932,1.191172859291548,1.1831754286021912,1.1806228377219727,1.1800474986767229,1.177077332023662,1.1329965002250308,1.1064972142168907,1.1041910674567363,1.1831014571891505,1.074623319090666
52,1020,99.2,negishi,0.9905814257912422,1.0358117464665888,0.9952746493791031,1.0492511440419554,1.0406845246765626,1.0380781188031016,1.034525642552804,1.0368563994255835,1.0279637251743483,1.006577846072243,1.0079229262080724,1.0385039031740655,1.0370112555420132
53,1020,99.2,pop_weighted,1.0012853259248633,1.008459388290886,1.009475148042075,1.0635471124869076,1.0548255265752948,1.0521671849429213,1.0490565398316605,1.050193424216596,1.0328863074505563,1.0209686743910489,1.0239911625853542,1.0529061073024348,1.0364465250663817
54,1020,99.3,negishi,1.0351692804885757,1.032881126541837,1.0370495747316577,1.1258699801536527,1.1178792983315975,1.1153663320856797,1.114602845379128,1.1133227531149208,1.080053249118576,1.053960633498778,1.0499959288377725,1.1172719652776255,1.115404598854226
55,1020,99.4,negishi,1.020140406809516,1.0316053894995425,1.033209747374749,1.0972157098463513,1.0939310037791017,1.0923776957189106,1.093063509177305,1.0911678375866705,1.064105085391945,1.0544053669156204,1.052514333526057,1.0943430938429377,1.092378965986766
56,1020,99.6,negishi,1.1416281531238008,1.1084135853631614,1.1096160582811088,1.31193495647233,1.306422681834875,1.3037026471905977,1.3059703492799153,1.2987000446131751,1.2177780602545447,1.1529807280362456,1.1423774826222206,1.3080134047251804,1.3031600869804636
57,1020,99.6,pop_weighted,1.1442914985795414,1.1108597286423538,1.1122430981362128,1.3145151401377633,1.3090108701966052,1.306309719023323,1.3086498559320046,1.300311390243064,1.2177475700788445,1.1555569594329689,1.1452716148442028,1.31077336446936,1.1795772555025987
58,1020,99.7,negishi,0.991576303684912,1.0242209299349387,0.9896067697111562,1.0250229945191456,1.011354383463431,1.007393575810784,1.0007879736717074,1.0060226335890206,1.0094550591413067,0.9931684368124624,0.9996344427803552,1.0068055078384492,1.0059084886562055
59,1020,99.7,pop_weighted,0.9971584338960056,0.995258845732602,0.996796961286284,1.0320275585576664,1.0181344503568317,1.014153119917438,1.0079173440129816,1.0122681286328676,1.0090564390048555,1.000371267146032,1.008437089321503,1.013693384013994,1.0126461495959174
60,1020,99.8,negishi,1.0484576282176132,1.0524609115966477,1.0543744487415077,1.1236882636129664,1.1165530651831068,1.1140797082175316,1.1131914710151067,1.1125961084698637,1.0874140570650297,1.071240045526315,1.0689794289155778,1.115703290134716,1.1146675829159771
61,1020,99.8,pop_weighted,1.050588949908251,1.054412175068433,1.0564282857431555,1.124548367237196,1.118374002438276,1.1159160956710874,1.1150934278832727,1.113742384233743,1.087379694721622,1.0732551563393462,1.0712565423431069,1.1062306645556812,1.05009498006166
62,1020,99.9,negishi,0.9752014095207732,1.057503111680805,0.978115847319594,1.0544328472731084,1.0461835160795836,1.043796306065146,1.040681604323991,1.042752047639529,1.030770643651914,0.9918982219124436,0.987855576946416,1.0447326604412202,1.042251732072583
63,1020,99.9,pop_weighted,0.9930863298222656,0.9961801216455738,0.9992712460033772,1.076354556401517,1.0676806242265748,1.0651995443123785,1.0628611121251952,1.0627804332914326,1.0349497632634843,1.0132686607832928,1.0127832452158805,1.0663983683700025,1.0576314617689755
64,1020,99.10,negishi,1.029942846813693,1.032940692337748,1.0358600640611322,1.1176447873622375,1.1095828998234805,1.107084728069695,1.1055745865716686,1.104797721057967,1.07526139681464,1.0522777860743646,1.0507491125201278,1.108665122585588,1.1062928360690516
65,1020,99.10,pop_weighted,1.0317158984310957,1.0345082314013654,1.0375436033671928,1.1191838241752887,1.1110854101566885,1.108599680778425,1.1071387506802504,1.105721998764351,1.075142629421821,1.0539159157428304,1.0525830327945411,1.110271255375895,1.0302326296225934
66,1020,99.11,negishi,1.0103847361738794,1.0126948187120417,1.0151026580344449,1.084683530778767,1.076226041419229,1.0736763451899638,1.0716752835032817,1.0717809975372927,1.047561791597116,1.0285470096630285,1.0273977207968477,1.0748832235557944,1.0731408874361337
67,1020,99.11,pop_weighted,1.0110410409911244,1.0132669261241751,1.0157253208154622,1.0852307266892065,1.0767654998219651,1.074240130059535,1.0722462232681298,1.0720858715996089,1.0474467764105058,1.029146384577373,1.0280846890618522,1.0754663368112585,1.0406813904427494
68,1020,99.3,pop_weighted,1.0371972042431674,1.0346563083798082,1.0389892884317402,1.1276109630307802,1.1196134421814656,1.1171120820304064,1.1164056085292866,1.1144303786626977,1.0800543176750326,1.05583058222504,1.0520579155951788,1.119118614279608,1.0336830096403942
69,1020,99.4,pop_weighted,1.020879714033451,1.0322527666314216,1.0339011836818035,1.0978237019828427,1.0945308262640543,1.0929856796957038,1.0936901698931762,1.0915128068686026,1.063993551131498,1.05507977956605,1.0532732327595418,1.0949868936426728,1.0570542448377844
70,1020,99.5,negishi,0.9756724959853832,0.9929837036004272,1.1511702219935669,1.0459405842960965,0.9954345662516124,0.9840470172672596,0.96193855477831,0.9795880853478844,1.002719918595237,1.0092014995627616,1.0844962721861469,0.979588835363672,0.9844273296026792
71,1020,99.5,pop_weighted,1.007653117860873,0.9624801931772852,1.03701504876713,1.03568723412831,1.03411138992875,1.0230029197390669,1.00411284227571,1.0120917104777378,1.0048880335564376,0.9794758099399002,1.0059420518813469,1.0011903015406356,0.947498995487414
72,1020,99.5,negishi,,,,,,,,,,,,,
73,1020,99.5,pop_weighted,1.0075978719562793,0.9624219268962448,1.036949695806956,1.0356262608728857,1.0351381388273626,1.0237917622308408,1.0043631555931452,1.012446444798874,1.0049701415164238,0.9794229880520116,1.0058605540485042,1.0011317414857557,0.9474556389240067
74,1030,baseline,negishi,1.0194770564593214,1.0220670903585831,1.023493345551335,1.100421054437828,1.0920437547190218,1.0895479857085708,1.0878057775388232,1.0875203695389903,1.0602023602505526,1.0378620518723427,1.0362075422943435,1.0909252630439907,1.088871235632897
75,1030,baseline,pop_weighted,1.0210659780804203,1.0234581390013568,1.0249954144773528,1.101760519589176,1.0933751334797777,1.0908863966861395,1.089192120994218,1.088316562994438,1.060033266188453,1.0393204597403165,1.037848212937837,1.0923467936917115,1.0178502600106245
76,1030,10.2,negishi,1.020350703272251,1.0453333535922005,1.0223118332509376,1.0818704676883215,1.077978600137562,1.0764938416645369,1.0750249910602248,1.0751547331197289,1.0591712640073017,1.090407201545294,1.0959569476295954,1.0777345196270816,1.077272951397031
77,1030,10.2,pop_weighted,1.0305505301233495,1.0379356187868385,1.0337540436625925,1.0948158951614757,1.090763999465986,1.0892426094618313,1.0879056526577222,1.0873427341403317,1.0650861156813425,1.0358026443843236,1.0445758477516631,1.090903983125748,1.0904904959528745
78,1030,10.2,pop_weighted,1.03120643053814,1.0385500752024004,1.0343812720548682,1.095464316401073,1.0913791664709875,1.0898565926671562,1.0885355939024015,1.0874417713739544,1.064349403895034,1.0364052259516667,1.0453078907351387,1.091578169552082,1.0261633403909618
79,1030,99.0,pop_weighted,1.0004401226217252,1.0041289431924232,1.0044161664064553,1.0596799531360868,1.0513575377221032,1.0488823572979549,1.046438177257916,1.0469113553353422,1.028778851962992,1.0155300382531172,1.0154500216436613,1.04971056995382,0.9989917404391084
80,1030,99.1,negishi,1.0466212795894214,1.0514168059580071,1.0527892538750188,1.1459654920708422,1.1379377664789223,1.1354439034872592,1.1343971285996748,1.1324000037001545,1.095928802818525,1.0717586625678766,1.0697362676330069,1.1374457383429348,1.044869241665945
81,1030,99.1,pop_weighted,1.046620096625363,1.05141805308807,1.0527900364363163,1.145971775898748,1.1379440718523246,1.1354422505207742,1.1343971418456082,1.1323987988743214,1.0959291142881484,1.0717587171903753,1.069736141833291,1.13744396935882,1.0448691093460971
82,1030,99.2,negishi,1.0014368042718704,1.0100140718049329,1.0093430509511834,1.0629302102319778,1.0543171564611742,1.0517048818116197,1.0486257493096696,1.049505093284394,1.0321962946070335,1.0208039370581663,1.0238626253075127,1.0524510542370673,1.0015121701515246
83,1030,99.2,pop_weighted,1.0014366302687967,1.0100144120473982,1.0093436879766402,1.0629482779444517,1.054323046375384,1.0517022265755085,1.048626064314708,1.0495113013238777,1.0321951140679753,1.0208045433602613,1.0238611886618074,1.0524458804110757,1.001511538261214
84,1030,99.3,negishi,1.0329334670241015,1.0348984244406845,1.0366230114855446,1.1213090478313124,1.1137897273027209,1.1113544497626773,1.1104055525366614,1.1086284949646343,1.0765546806449509,1.0543407351718244,1.0512901007544857,1.1132606552630386,1.0318942347481677
85,1030,99.3,pop_weighted,1.0329338748246866,1.0348983499202362,1.03662287204805,1.1213097592180956,1.113794638939737,1.1113506285576975,1.1104053547452728,1.108631192597669,1.0765532797506234,1.0543412454212766,1.0512893346537386,1.1132613844806396,1.0318950887560316
86,1030,99.4,negishi,1.021320857156836,1.0279868453395955,1.0285362422393738,1.0991726243418591,1.093289831946583,1.09128829632681,1.0906956376187404,1.0891449640003807,1.0613275158212343,1.045533920341421,1.0438201360082404,1.0929573672751531,1.0244232788972671
87,1030,99.4,pop_weighted,1.021320857156836,1.0279868453395955,1.0285362422393738,1.0991726243418591,1.093289831946583,1.09128829632681,1.0906956376187404,1.0891449640003807,1.0613275158212343,1.045533920341421,1.0438201360082404,1.0929573672751531,1.0244232788972671
88,1030,99.5,negishi,1.018189264090586,1.0191465167529274,1.0209470851085904,1.0998176077023836,1.089692995198925,1.0868263693407427,1.084216415854129,1.084000666212896,1.0562031151371447,1.0337562161508589,1.0329014528000036,1.0880700928819689,1.0118500304813738
89,1030,99.5,pop_weighted,1.0181885535042294,1.01914674324033,1.0209468118894454,1.0998117769646143,1.0896833909209884,1.0868285107387106,1.0842166416690586,1.0840006715162869,1.0562053015616948,1.0337562408655594,1.0329026757428132,1.0880713506659851,1.0118506682044142
90,1030,99.6,negishi,1.184167357854204,1.145491500091864,1.1452292162567907,1.376841051316859,1.3716125020338257,1.368886816092646,1.3719473392803776,1.3611488421340614,1.2645923393087726,1.1931850119348382,1.181585235175787,1.3741057366998186,1.146390872760103
91,1030,99.6,pop_weighted,1.1841766761799062,1.1454969363561534,1.1452274359320165,1.3768514552652125,1.3716159418265763,1.368886594852038,1.3719500306499908,1.3611488828752456,1.2645895043769595,1.1931776204891908,1.181589826059929,1.3741058585098145,1.1463860427716617
92,1030,99.7,negishi,0.9982948568548397,0.995749543490014,0.9971735865641684,1.0484177884664292,1.015061847964776,1.0081489138978232,0.9973209134736932,1.006275311279826,1.0093332418708485,0.99860204445197,1.0040779687262775,1.0064252690845277,0.9819007313931042
93,1030,99.7,pop_weighted,0.9982948568548397,0.995749543490014,0.9971735865641684,1.0484177884664292,1.015061847964776,1.0081489138978232,0.9973209134736932,1.006275311279826,1.0093332418708485,0.99860204445197,1.0040779687262775,1.0064252690845277,0.9819007313931042
94,1030,99.8,negishi,1.0487501025056654,1.053134753072364,1.0535090429785117,1.1236454590556515,1.1161723613929633,1.1136170483617611,1.112532576799653,1.1115808936376217,1.0858641067892645,1.069949113627443,1.0679043272190922,1.1152433588729704,1.046690330718672
95,1030,99.8,pop_weighted,1.0487501327930422,1.0531345165649972,1.0535090344415592,1.123658389473715,1.1161712258227017,1.1136084135470323,1.1125326105664586,1.1115810383856,1.085864486737551,1.0699491473945753,1.0679052054551146,1.115251453914687,1.046690629259439
96,1030,99.9,negishi,0.9938488529477132,0.997939702939642,0.9993439937372016,1.0767094939556694,1.0679254515357657,1.0654610106272973,1.0630930015259386,1.0625491783399534,1.034198520973716,1.01332772759096,1.0129586949292064,1.0666984850006076,0.9931222424150152
97,1030,99.9,pop_weighted,0.9938488529477132,0.997939702939642,0.9993439937372016,1.0767094939556694,1.0679254515357657,1.0654610106272973,1.0630930015259386,1.0625491783399534,1.034198520973716,1.01332772759096,1.0129586949292064,1.0666984850006076,0.9931222424150152
98,1030,99.10,negishi,1.0305110273352096,1.0353260332721284,1.0365066675660273,1.1169917074870266,1.109170395780579,1.1067368918789706,1.1052986060746426,1.1034244670944895,1.0757642868667183,1.0531052728301753,1.0517869692460022,1.108384817900961,1.0295030220052008
99,1030,99.1,negishi,1.0445416316671274,1.0495724900574184,1.0508179318621962,1.1441496163336304,1.1361656642702356,1.1336502193931992,1.1325601882696106,1.1312949559861711,1.0960040912604907,1.0698357541417094,1.0675942579791462,1.1355540801270638,1.132504577880024
100,1030,99.1,pop_weighted,1.0466197922724063,1.0514186109250914,1.0527912446034646,1.1459512951965105,1.1379344374649083,1.135437465192466,1.1343968135042448,1.132394094786896,1.0959248236899566,1.0717599646998903,1.0697380066011597,1.137437997603613,1.0448698320549892
101,1030,99.2,negishi,1.0005234192418186,1.0092084413042093,1.0084827755571044,1.0621731637656644,1.0535706247466476,1.0509510198032952,1.0478543163555984,1.0491217491594418,1.0324606189291714,1.0199809479561477,1.0228867510470194,1.0516466019465749,1.0498664034682734
102,1030,99.2,pop_weighted,1.0014376412655484,1.0100157466165902,1.0093451749986506,1.062925798177725,1.0543109625363158,1.0517008571599908,1.0486266766687724,1.0495038575790787,1.0321915058471274,1.020805463134922,1.0238642398931217,1.052447620370249,1.0015124091694907
103,1030,99.3,negishi,1.031048127147905,1.0332369103069026,1.0348243045224237,1.1196741221918314,1.1121765343467416,1.1097294816966738,1.1087363897762337,1.1076254707153208,1.076574920717725,1.0525954001573268,1.0493605598783953,1.1115458395278677,1.1096060988557894
104,1030,99.3,pop_weighted,1.032934577807768,1.034899615119564,1.0366246697513752,1.121294173688614,1.1137827306889336,1.111347794028792,1.110406149287424,1.1086264637536594,1.0765500619357191,1.0543416391772318,1.0512934358432575,1.1132586933728923,1.0318961388479992
105,1030,99.4,negishi,1.019867505825885,1.0267152870676777,1.027176298390046,1.09795465300174,1.0920876187609614,1.090078158600092,1.089450597366776,1.0884352467477616,1.061488446451127,1.044206063594723,1.042330848723768,1.0916742391539107,1.0896997883316717
106,1030,99.4,pop_weighted,1.0213221031858373,1.0279880031056463,1.0285377307644217,1.0991587092817376,1.0932780068015953,1.091281649420112,1.0906961909091362,1.0891412506155669,1.0613274923409872,1.0455344514293912,1.0438223035345318,1.092953942205157,1.0244246364470633
107,1030,99.5,negishi,1.016572102150982,1.017729170394277,1.0194065238557704,1.0983980432327296,1.0883180506133157,1.0854426983021217,1.082791981457692,1.0831703430274904,1.056378125818357,1.0322693811836685,1.0312179142931628,1.0866005141362145,1.084585894426477
108,1030,99.5,pop_weighted,1.018189977508125,1.0191482734175448,1.0209489452688991,1.0997913617460484,1.089688088046496,1.086821581471996,1.0842173425140362,1.0839978493676268,1.056200811897417,1.0337573517107232,1.0329049015570664,1.088064421740314,1.0118520221548086
109,1030,99.6,negishi,1.1793224418709254,1.141038167006898,1.140458298075052,1.372080349754807,1.366898707747176,1.364136383282179,1.3670703649796492,1.3582859304419956,1.26474883668176,1.1884573748924865,1.1762991372574718,1.3690868360284416,1.3634385292607396
